0.005473573,0.9938,SP-200
0.010272725,0.986267,
0.017615847,0.9787,
0.025410708,0.93511542,
0.026552766,0.893222222,
0.042944034,0.779314869,
0.057972221,0.726583505,
0.0279918,0.702353993,
标准差,均值,
0.008149484,0.98789,FIX-200
0.013334,0.98044,
0.026403414,0.9542,
0.013500052,0.904625,
0.071056924,0.868,
0.033718671,0.760345285,
0.042676917,0.751345013,
0.033252654,0.652099,
,,
0.00001,1,SORN-200
0.00001,1,
3.47E-05,1,
0.000647357,1,
0.00174799,0.998,
0.005735729,0.9902,
0.013387234,0.9832,
0.017735729,0.9786,
,,
0.007459484,0.99828,SP-400
0.002399998,0.9928,
0.016403414,0.990712,
0.043500052,0.979881,
0.089103799,0.955722,
0.056787081,0.9145869,
0.062776917,0.868099,
0.040326541,0.7860354,
,,
0.007903923,0.9946,FIX-400
0.00980584,0.9908,
0.011167111,0.985702,
0.019484753,0.969581,
0.011320799,0.939222,
0.019782886,0.879301,
0.027944566,0.838099,
0.02251464,0.740354,
,,
0.00001,1,SORN-400
0.00001,1,
0.00001,1,
0.00001,1,
0.00001,1,
5.57E-05,0.9982,
0.002538723,0.9982,
0.003373573,0.9976,
