20002,2,4,3,5,10,15,14,9,17,19,7,20,8,6,13,16,11,36,18,33,37,22,30,26,25,43,12,24,44,55,109,27,35,32,21,80,31,23,5816,29,92,541,67,3314,28,42,53,47,68,5042,60,41,50,38,206,101,2412,135,83,64,59,70,158,5900,71,89,7780,58,34,11038,12281,13699,164,469,487,510,88,614,687,1216,1225,1280,51,1476,2000,2110,2576,2918,90,3316,105,65,189,3854,165,168,56,4845,4951
633,34,33,28,20,18,15,15,14,13,13,13,12,12,12,11,11,11,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20002.0,3.0,4.0,2.0,6.0,7.0,8.0,5.0,11.0,9.0,10.0,20.0,21.0,12.0,17.0,26.0,16.0,13.0,14.0,19.0,30.0,18.0,15.0,23.0,27.0,31.0,22.0,28.0,24.0,29.0,40.0,25.0,34.0,47.0,36.0,32.0,39.0,44.0,37.0,43.0,42.0,46.0,45.0,51.0,38.0,52.0,53.0,60.0,33.0,50.0,48.0,78.0,49.0,35.0,80.0,56.0,71.0,41.0,54.0,58.0,55.0,75.0,61.0,66.0,63.0,67.0,59.0,87.0,81.0,83.0,73.0,65.0,89.0,82.0,90.0,88.0,117.0,102.0,141.0,84.0,70.0,72.0,98.0,145.0,115.0,92.0,64.0,116.0,91.0,111.0,231.0,282.0,167.0,76.0,105.0,1551.0,101.0,94.0,93.0,62.0
860,93,88,82,82,82,81,77,73,70,67,57,52,50,46,42,42,41,40,37,37,36,35,31,29,29,28,27,26,24,23,23,22,20,20,18,18,17,16,15,15,15,15,14,14,14,13,13,12,12,12,12,12,12,11,11,10,10,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
